,shape,loc,scale,distribution,domain
ampl_c,143.31512664610267,0.9960568452657093,2.6868618772595975e-05,gamma,spatial
xoc_pix,0.0001938606054707582,6.508326092217059,0.31768343959131845,skewnorm,spatial
yoc_pix,0.00024869528201195454,6.511085624328112,0.3309618513831676,skewnorm,spatial
rad_c_pix,5.393411235893877,0.3885174642666366,0.04703162636014173,gamma,spatial
ampl_s,2.35963058705323,-0.006245696280457637,0.0659389731044608,gamma,spatial
rad_s_pix,34.64214557417573,-0.7795519472721142,0.06921778665752834,gamma,spatial
offset,34.42074712849556,-6.707491614501893e-05,0.0011271447398182254,skewnorm,spatial
relative_surround_volume,-4.43774368069775,0.9207806587248767,0.22715331108809184,skewnorm,spatial
n,20.385676784629197,0.5345264131050602,0.17284112401190127,gamma,temporal
p1,138.1762583944418,-1.4688703998260966,0.029086270325967015,gamma,temporal
p2,6.831244054892716,0.04762641510070878,0.022772687851826467,gamma,temporal
tau1,279.2632825553917,3.065708770479999,0.1736831913259877,gamma,temporal
tau2,198.18755505540975,-103.42073661716913,1.4638734683560202,gamma,temporal
tonic_drive,209.4041333491307,-9.09642748479122,0.049508245073483975,gamma,tonic
