,shape,loc,scale,distribution,domain
ampl_c,0.4902850226414773,0.998999999999999,0.11441431288131529,gamma,spatial
xoc_pix,-6.783135814472522e-05,6.4996811813025746,0.32308847418999254,skewnorm,spatial
yoc_pix,-0.2747275791407201,6.579468406577394,0.33367134959576794,skewnorm,spatial
semi_xc_pix,4.13334293518119,0.4950619630007485,0.07641811646127952,gamma,spatial
semi_yc_pix,53.110430740206134,-0.026977433034942343,0.010752751352301443,gamma,spatial
ampl_s,1.319264597663726,0.07155364936316146,0.10119748421003731,gamma,spatial
xos_pix,-1.01077553650588,6.796365465895501,0.5837828394144584,skewnorm,spatial
yos_pix,-0.013762267861140303,6.478408274973436,0.4582069779408938,skewnorm,spatial
semi_xs_pix,171.61221880212543,-1.6584311968699041,0.0192385831888051,gamma,spatial
semi_ys_pix,221.66054119592593,-3.563315111615516,0.021191589135162253,gamma,spatial
offset,-2.4587928922375584,0.001601156513794546,0.002567832107118576,skewnorm,spatial
xy_aspect_ratio,14.476310791963321,1.0548515882986391,0.5879139143333397,skewnorm,spatial
relative_surround_volume,-3.105770799392615,0.8915805905302026,0.21491934373021654,skewnorm,spatial
orient_cen_rad,24.99545979546162,0.02315558520056504,3.141592653589793,vonmises,spatial
orient_sur_rad,2.394661347479224,1.7441341484665087,3.141592653589793,vonmises,spatial
n,21.49848511078894,0.4436617905476088,0.16840689680223841,gamma,temporal
p1,116.13572611382301,-1.1647439766091168,0.031932400180185644,gamma,temporal
p2,6.8882890029888255,0.04722253593944947,0.02267383808955796,gamma,temporal
tau1,223.43068681838264,8.458212388179309,0.19278517417688662,gamma,temporal
tau2,142.5471427072706,-69.45548904178965,1.790652047168792,gamma,temporal
tonic_drive,178.55451809788963,-8.317191648129832,0.05374882370029155,gamma,tonic
