,shape,loc,scale,distribution,domain
ampl_c,3.188315994084512,0.9937586776968361,0.0030582207677573837,gamma,spatial
xoc_pix,2.363600003674196,6.171815263522482,0.43655391659506065,skewnorm,spatial
yoc_pix,-1.4004782296352585,6.758816337376356,0.39959271822400977,skewnorm,spatial
rad_c_pix,30.053311836653506,-0.005637652642269985,0.02503345045390037,gamma,spatial
ampl_s,11.355510684660835,-0.19306710647701258,0.03726079224178014,gamma,spatial
rad_s_pix,125.28927894830156,-3.1562865558566253,0.0366487099601806,gamma,spatial
offset,33.99153701125262,-5.780514748558962e-05,0.0009692520924420158,skewnorm,spatial
relative_surround_volume,-10.164296911017257,0.9444834919095941,0.28500356738139226,skewnorm,spatial
n,10.98592572154536,3.7680590059669474,0.34894320915049526,gamma,temporal
p1,336.96368950479064,-3.641560431362892,0.020317884985792428,gamma,temporal
p2,20.57311826077231,-0.2024174064234664,0.025944809498662603,gamma,temporal
tau1,432.5514146458927,3.2023006000054774,0.11766956984305016,gamma,temporal
tau2,110.21106939404228,-103.01928739104983,2.4434662554188256,gamma,temporal
tonic_drive,220.99835829115472,-6.4705483493218185,0.03784577037781449,gamma,tonic
