,means,std_devs,cov_ampl_c,cov_xoc_pix,cov_yoc_pix,cov_semi_xc_pix,cov_semi_yc_pix,cov_ampl_s,cov_relat_sur_diam,cov_offset,cov_xy_aspect_ratio,cov_relative_surround_volume,cov_orient_cen_rad
ampl_c,0.9998407120424927,0.0003659386301427073,1.345062413908576e-07,-1.1337750480712651e-05,1.4302041177155757e-05,2.980469414796798e-06,2.5877393327688417e-07,6.658180047621723e-07,-2.3339405071140143e-06,5.097832625919962e-08,5.948770150475089e-06,1.3565017451278142e-05,-3.996564620995628e-06
xoc_pix,6.484196644462215,0.28446027676757013,-1.1337750480712651e-05,0.08127728305449898,-0.0015357915451378427,0.00254174781552235,-0.0024847988066730347,-0.00017406685637169742,0.01498149852969698,-4.531492817704801e-06,0.012721865976565588,-0.0007655381592733809,0.001422223970416019
yoc_pix,6.496621143283869,0.28529672405979006,1.4302041177155757e-05,-0.0015357915451378427,0.08175597285151132,-9.990809283261305e-05,-0.0007211985563813351,-0.0007432280385559452,-0.014386207379731824,7.596686496189557e-07,0.0006207793689212532,-0.0030792516777055513,0.019425651297053724
semi_xc_pix,0.9488186137063317,0.1919721070260749,2.980469414796798e-06,0.00254174781552235,-9.990809283261305e-05,0.037017082275479785,0.004992264934768216,0.013433536621692915,-0.05529462098624991,-1.1454147081887084e-05,0.05340803852846431,0.0030292108608413735,-0.008960855672117967
semi_yc_pix,0.6153205098113536,0.10983226373961248,2.5877393327688417e-07,-0.0024847988066730347,-0.0007211985563813351,0.004992264934768216,0.012116740052204096,0.007765231985081876,-0.05370600938604126,-4.627772015814193e-07,-0.0278419624469877,0.001607097395752785,0.003124486012336672
ampl_s,0.21847990822043017,0.0923242546315397,6.658180047621723e-07,-0.00017406685637169742,-0.0007432280385559452,0.013433536621692915,0.007765231985081876,0.008561651406572801,-0.05108952646492726,-4.7696239728268e-06,-0.0007932878472065448,0.0021995069852784425,-0.0017305771462259871
relat_sur_diam,2.0707941750701813,0.7587435674113175,-2.3339405071140143e-06,0.01498149852969698,-0.014386207379731824,-0.05529462098624991,-0.05370600938604126,-0.05108952646492726,0.5782504313151103,5.585043929905102e-05,0.1084821549507705,0.010077441677582575,0.054917654270950196
offset,0.00045838065488224797,0.00043395608482477653,5.097832625919962e-08,-4.531492817704801e-06,7.596686496189557e-07,-1.1454147081887084e-05,-4.627772015814193e-07,-4.7696239728268e-06,5.585043929905102e-05,1.8915485192781066e-07,-1.78432135019497e-05,1.5870629252621914e-05,-2.5921943109612543e-06
xy_aspect_ratio,1.5870385694255613,0.4563700719355329,5.948770150475089e-06,0.012721865976565588,0.0006207793689212532,0.05340803852846431,-0.0278419624469877,-0.0007932878472065448,0.1084821549507705,-1.78432135019497e-05,0.20919930319203656,0.0010774091178292204,-0.012053286250216047
relative_surround_volume,0.7762306271852711,0.11295901412043553,1.3565017451278142e-05,-0.0007655381592733809,-0.0030792516777055513,0.0030292108608413735,0.001607097395752785,0.0021995069852784425,0.010077441677582575,1.5870629252621914e-05,0.0010774091178292204,0.012816448821598802,-0.0032608404011770595
orient_cen_rad,0.1002354973445216,0.7149122910244273,-3.996564620995628e-06,0.001422223970416019,0.019425651297053724,-0.008960855672117967,0.003124486012336672,-0.0017305771462259871,0.054917654270950196,-2.5921943109612543e-06,-0.012053286250216047,-0.0032608404011770595,0.51337113756383
