,shape,loc,scale,distribution,domain
ampl_c,553.1025641623029,0.9926781413995143,1.305359891310867e-05,gamma,spatial
xoc_pix,55145124.085543215,2.863087716637393,3.624707300499784,skewnorm,spatial
yoc_pix,0.11700578986347826,6.35733255876962,0.30468703611547043,skewnorm,spatial
rad_c_pix,117.42871090294403,-0.5966019095715216,0.020849183782422252,gamma,spatial
ampl_s,437.37100425317146,-0.22964089226135487,0.0020292975047846457,gamma,spatial
rad_s_pix,128.545706240809,-0.7786403285650352,0.02289311734358001,gamma,spatial
offset,2412108.268688871,-1.1028667094225727e-08,0.005740134636781011,skewnorm,spatial
relative_surround_volume,-3.9166773928762737,0.9639584794328384,0.08343640418595072,skewnorm,spatial
n,36.409925588509864,0.3478345281156265,0.12489644485763843,gamma,temporal
p1,281.15707510620837,-1.1324227443940278,0.014387527359660986,gamma,temporal
p2,74.80033543456227,0.2523230196104289,0.008119479326330177,gamma,temporal
tau1,375.54822268890814,-12.3409219697824,0.1509940361193921,gamma,temporal
tau2,120.19662460692982,-0.009381439389809253,1.027758726469864,gamma,temporal
tonic_drive,176.8446153069524,-2.3440468279218596,0.02748764006056388,gamma,tonic
