,shape,loc,scale,distribution,domain
ampl_c,205.7734460209843,0.9999999810790566,9.061496432314538e-11,gamma,spatial
xoc_pix,66286367.53528434,2.901558563877412,3.55682259758324,skewnorm,spatial
yoc_pix,0.348207003611596,6.318933597613336,0.31143600893284695,skewnorm,spatial
semi_xc_pix,3.460083562524562,1.6511096224382757,0.20638623568285025,gamma,spatial
semi_yc_pix,7.207048926188403,0.8087583545025242,0.10025024369221566,gamma,spatial
ampl_s,405.61922574510095,-0.2559169055157756,0.002226425682610311,gamma,spatial
relat_sur_diam,1.5067552786827672,1.1537737698103048,0.032476598874197016,skewnorm,spatial
offset,-47.59396398515499,0.0010133809399763517,0.0002285783306740161,skewnorm,spatial
xy_aspect_ratio,24388240.337212645,1.0839801232448298,0.5895346233289591,skewnorm,spatial
relative_surround_volume,-2.1384855675562773,0.9300287259388637,0.052276563461072775,skewnorm,spatial
orient_cen_rad,35.52971052526224,0.17689083034368405,3.141592653589793,vonmises,spatial
n,26.885750222670108,0.95676703137725,0.1448094723175523,gamma,temporal
p1,238.0537804891315,-0.7827805373680261,0.015467122577289969,gamma,temporal
p2,56.16034544492476,0.3249783967627673,0.009671370419112105,gamma,temporal
tau1,386.49032092189884,-12.867022143698819,0.14761805799902517,gamma,temporal
tau2,112.75533073036092,-0.003931838511837028,1.0846822799274314,gamma,temporal
tonic_drive,127.61248689409459,-1.6692365978331427,0.03272342815979694,gamma,tonic
