,shape,loc,scale,distribution,domain
ampl_c,172.42866405018708,0.9966080857889499,1.9381762353857464e-05,gamma,spatial
xoc_pix,-14.583593911190741,7.158569025180386,1.2320323346273194,skewnorm,spatial
yoc_pix,-2.0243457335149002e-05,6.553743423998786,0.2776695216662805,skewnorm,spatial
rad_c_pix,155.22775126571042,-1.0080899214602912,0.018922956757310802,gamma,spatial
ampl_s,267.6299513215507,-0.0474959548555252,0.0026874306086680138,gamma,spatial
rad_s_pix,198.83133443180134,-1.1821322236485594,0.017361773217404293,gamma,spatial
offset,-0.8938598315185969,0.008116765396376633,0.0053768312205772755,skewnorm,spatial
relative_surround_volume,-2.917477661633172,0.9756941097963756,0.0607315613551212,skewnorm,spatial
n,212.36428551563694,-6.730901744738524,0.07787631329381184,gamma,temporal
p1,193.8602308528113,-3.6647248618616217,0.036469619181733554,gamma,temporal
p2,109.00316124328265,-0.9361704008517202,0.01722952505216213,gamma,temporal
tau1,1390.6859626519254,-1.0858528572198676,0.03805978452734805,gamma,temporal
tau2,85.62570098288296,25.606810591506616,1.154274270377972,gamma,temporal
tonic_drive,226.48568350680296,-5.189752279707399,0.033385807713142895,gamma,tonic
