,means,std_devs,cov_ampl_c,cov_xoc_pix,cov_yoc_pix,cov_semi_xc_pix,cov_semi_yc_pix,cov_ampl_s,cov_relat_sur_diam,cov_offset,cov_xy_aspect_ratio,cov_relative_surround_volume,cov_orient_cen_rad
ampl_c,0.9999770396087921,0.00014966497279912804,2.2660064595556336e-08,7.941950620632294e-06,-8.607386355676882e-06,-2.7596886739475587e-05,1.632013722503561e-06,-1.79854953632829e-06,1.098434200528976e-06,9.73874058888279e-09,-2.4117502239745347e-05,-7.277643817483604e-07,-1.547198866608833e-05
xoc_pix,6.324354070199394,0.875919755420726,7.941950620632294e-06,0.7761567600053311,0.00403518194979653,-0.030993592003571546,-0.02308193541281257,-0.003659527667895721,0.002293118862187322,3.059467321402263e-05,0.001608452550392528,-0.0022972909400916374,0.11247322228179876
yoc_pix,6.54473006001192,0.2982134415861236,-8.607386355676882e-06,0.00403518194979653,0.08996534112336874,0.009045791822634404,-0.015640806562235095,-0.0012721537659108116,0.0006860353503126147,-2.9301131079523364e-06,0.021607266196045947,-0.0006391079833648584,-0.002602002369625249
semi_xc_pix,2.3988348718183947,0.44018360704616855,-2.7596886739475587e-05,-0.030993592003571546,0.009045791822634404,0.19601464986464287,0.009278758028196372,0.014589433709936202,-0.009019549148647216,-3.520921528590067e-05,0.1279335881752638,0.00728764600799015,-0.012044476431600728
semi_yc_pix,1.6059274955294247,0.23978778516529145,1.632013722503561e-06,-0.02308193541281257,-0.015640806562235095,0.009278758028196372,0.058166765425109394,0.008093430245793384,-0.00680839410629889,1.1723788456598616e-05,-0.056034669417838315,0.002039655433755442,0.012431455213595932
ampl_s,0.660350857137326,0.04674569169272895,-1.79854953632829e-06,-0.003659527667895721,-0.0012721537659108116,0.014589433709936202,0.008093430245793384,0.0022105685254576184,-0.0017819743075510868,-9.132262607917198e-07,0.001124698318582326,0.0007007885159451922,0.0007456943484722631
relat_sur_diam,1.1770455093214864,0.04276819394737952,1.098434200528976e-06,0.002293118862187322,0.0006860353503126147,-0.009019549148647216,-0.00680839410629889,-0.0017819743075510868,0.001850387232282538,4.511688221242552e-07,0.0019551641915268973,-0.00013847587637495385,-0.0010402865848928814
offset,0.0009196747955999446,0.00025403839536347297,9.73874058888279e-09,3.059467321402263e-05,-2.9301131079523364e-06,-3.520921528590067e-05,1.1723788456598616e-05,-9.132262607917198e-07,4.511688221242552e-07,6.528591918302085e-08,-4.1724909270360505e-05,-3.9805260923347556e-07,1.401485248123502e-05
xy_aspect_ratio,1.5282293076171383,0.39160602852380066,-2.4117502239745347e-05,0.001608452550392528,0.021607266196045947,0.1279335881752638,-0.056034669417838315,0.001124698318582326,0.0019551641915268973,-4.1724909270360505e-05,0.15513848252474405,0.003218678878298746,-0.019972307878444635
relative_surround_volume,0.9116649273435821,0.02709365888585315,-7.277643817483604e-07,-0.0022972909400916374,-0.0006391079833648584,0.00728764600799015,0.002039655433755442,0.0007007885159451922,-0.00013847587637495385,-3.9805260923347556e-07,0.003218678878298746,0.0007426020070767247,-0.0006239667685508374
orient_cen_rad,0.0684710820710755,0.5207598961076931,-1.547198866608833e-05,0.11247322228179876,-0.002602002369625249,-0.012044476431600728,0.012431455213595932,0.0007456943484722631,-0.0010402865848928814,1.401485248123502e-05,-0.019972307878444635,-0.0006239667685508374,0.2743442515963523
