,shape,loc,scale,distribution,domain
ampl_c,0.18798929336917924,0.9999999956690964,0.1057137916528842,gamma,spatial
xoc_pix,15614875.34457476,2.564673563450113,3.837197431353446,skewnorm,spatial
yoc_pix,1.7263444630757496,6.104958941548304,0.661195199049411,skewnorm,spatial
semi_xc_pix,21.878728581173604,0.5611637473038935,0.07921477793375067,gamma,spatial
semi_yc_pix,262.1835444315075,-1.9199394965964691,0.013364571909389715,gamma,spatial
ampl_s,202.33440043787073,-0.08537082894289222,0.003716890243917744,gamma,spatial
xos_pix,-12.117809293874126,7.148337219613203,1.1874134795605569,skewnorm,spatial
yos_pix,1.788187762736574,5.961624129275982,0.8532781605044002,skewnorm,spatial
semi_xs_pix,14.558375165585497,1.0573065543037146,0.11233539508911307,gamma,spatial
semi_ys_pix,219.6175040296672,-2.176222862869812,0.01834820394400786,gamma,spatial
offset,-1.5787848210164088,0.007260422763924426,0.005009071457271535,skewnorm,spatial
xy_aspect_ratio,272094822.59397143,1.0805380624909127,0.49770968509290203,skewnorm,spatial
relative_surround_volume,-12567169.486592416,0.9992743921795897,0.09656746853056875,skewnorm,spatial
orient_cen_rad,44.894587225547,0.07074417023909246,3.141592653589793,vonmises,spatial
orient_sur_rad,1.965097871043156,2.5310312475238272,3.141592653589793,vonmises,spatial
n,243.3255002732028,-7.797086019328912,0.07232070009425218,gamma,temporal
p1,223.190896259792,-4.117333676989828,0.03369449344862907,gamma,temporal
p2,105.57887826011154,-0.8960411402406874,0.01738119681290347,gamma,temporal
tau1,1245.6677103014795,-1.0855847310437667,0.04244819331029351,gamma,temporal
tau2,134.91019662741616,-6.797565214054544e-05,0.9240831604159285,gamma,temporal
tonic_drive,179.1634682878307,-4.184998884066733,0.03658086769911388,gamma,tonic
