,shape,loc,scale,distribution,domain
ampl_c,350.15190934392456,0.9951468542553801,1.3694677396858371e-05,gamma,spatial
xoc_pix,-0.45164674347918,6.619296658143867,0.34468775418018055,skewnorm,spatial
yoc_pix,-0.2360834558361397,6.565761481506328,0.3275702367794311,skewnorm,spatial
semi_xc_pix,2.97900223588512,0.5118430087060736,0.10162972700287509,gamma,spatial
semi_yc_pix,41.24783946240471,0.0009467781208439734,0.013136574035730153,gamma,spatial
ampl_s,5.401473206118355,-0.019468119066327207,0.03239014462611674,gamma,spatial
relat_sur_diam,2.550629404864537,1.7358989751615244,0.8905701184260044,skewnorm,spatial
offset,746041.5693033929,-3.878663963985764e-09,0.0005987414227880045,skewnorm,spatial
xy_aspect_ratio,20.335503290834495,1.047709769725838,0.6170427807527726,skewnorm,spatial
relative_surround_volume,-3.0412347486483533,0.891222587364114,0.18126940226327048,skewnorm,spatial
orient_cen_rad,24.505391778011013,-0.02154164733605946,3.141592653589793,vonmises,spatial
n,20.572312587468726,0.509591605240588,0.17263591424990216,gamma,temporal
p1,79.92740141528589,-0.555561563426409,0.03884995535543789,gamma,temporal
p2,6.39521750771504,0.050720217524601555,0.02407548878669389,gamma,temporal
tau1,213.43898530723538,7.975688523581482,0.2041191531296993,gamma,temporal
tau2,195.56539117986128,-112.46877739849526,1.5237398524996402,gamma,temporal
tonic_drive,241.96690851886206,-9.986942554154098,0.04653854472808977,gamma,tonic
