,means,std_devs,cov_ampl_c,cov_xoc_pix,cov_yoc_pix,cov_semi_xc_pix,cov_semi_yc_pix,cov_ampl_s,cov_xos_pix,cov_yos_pix,cov_semi_xs_pix,cov_semi_ys_pix,cov_offset,cov_xy_aspect_ratio,cov_relative_surround_volume,cov_orient_cen_rad,cov_orient_sur_rad
ampl_c,0.9999885056048049,0.00010659330070696588,1.1405832262357997e-08,1.7536546554278103e-06,-2.8927389786390753e-06,-3.2010945608618407e-06,1.1034521621973034e-07,-7.926657865566178e-06,-6.140081570949985e-06,-5.843834958456456e-06,2.5694892588837687e-06,8.770818354559362e-06,3.2181242257607276e-08,-7.427879515302181e-06,2.9385820429022345e-06,-1.0306533831987628e-06,-1.5381366000613047e-05
xoc_pix,6.499663754272404,0.32308844570832224,1.7536546554278103e-06,0.10478762891848956,-0.006800287265135666,-0.0073447393014127805,0.0016470111727118892,-0.002904284005091558,0.10711403762125334,-0.00887627963938569,0.00018493503718105414,-0.0006424481304647516,9.333748030674226e-06,-0.017826301368827686,0.0011532466441408666,-0.0004463962991215081,-0.01821271100693534
yoc_pix,6.50706866307611,0.32621764675928144,-2.8927389786390753e-06,-0.006800287265135666,0.10682725287661392,0.0012198704680204907,0.0007692214424345809,0.002004463631009722,-0.008224988659137195,0.11706804909989613,-0.001336982048603566,0.0004639090771079414,-2.601324747440235e-06,-0.0005143140456489124,0.0011470272324749628,0.008704687984986038,0.00924679282646698
semi_xc_pix,0.8109247405309705,0.15686001320190004,-3.2010945608618407e-06,-0.0073447393014127805,0.0012198704680204907,0.02469969860224526,0.0018228003711907835,0.011885725834973469,-0.003747919565254324,0.007527095080550802,-0.006563788923137719,-0.015052605148762882,-4.404689542708212e-05,0.04209644791903378,-0.0013460216614620837,0.00853985722921405,0.027945583807290307
semi_yc_pix,0.5441058281453292,0.07872056516956444,1.1034521621973034e-07,0.0016470111727118892,0.0007692214424345809,0.0018228003711907835,0.0062207617166949334,0.001840523149012417,-0.000829585397166893,0.0023733231699837754,-0.0035990104027612485,0.0033603216879977455,2.1149519686990392e-05,-0.015121351384190464,0.001955432958452349,0.0001731833076418693,0.0006879878389861278
ampl_s,0.20506246758057148,0.15675802055701005,-7.926657865566178e-06,-0.002904284005091558,0.002004463631009722,0.011885725834973469,0.001840523149012417,0.02466758884360181,-0.0051677691838217235,0.0053302378282201884,-0.020998824299931676,-0.03340479625924727,-0.00011805977834648228,0.01908852682538894,-0.006721756455230158,0.009809526903530062,0.015411235150842938
xos_pix,6.465166516205687,0.48073435515844437,-6.140081570949985e-06,0.10711403762125334,-0.008224988659137195,-0.003747919565254324,-0.000829585397166893,-0.0051677691838217235,0.23199438761510383,-0.016295479875887673,0.01210815057246609,0.005144332357648771,4.2954938810202994e-05,-0.00045219423891350844,-0.0016483858127315336,-0.007531023549616749,-0.016762156452059453
yos_pix,6.47338703065051,0.45820663117171495,-5.843834958456456e-06,-0.00887627963938569,0.11706804909989613,0.007527095080550802,0.0023733231699837754,0.0053302378282201884,-0.016295479875887673,0.2107608296068464,-0.003732368200071572,4.721400435652152e-05,-1.2361298316045771e-05,0.004441594282132705,-0.00020753528591204037,0.006181917224581397,-0.003285761603269448
semi_xs_pix,1.6498490219439934,0.2441458670617581,2.5694892588837687e-06,0.00018493503718105414,-0.001336982048603566,-0.006563788923137719,-0.0035990104027612485,-0.020998824299931676,0.01210815057246609,-0.003732368200071572,0.05983646288181205,0.040099419950848925,0.0002069991784992568,-0.0027995281435347704,0.01739890333313748,-0.009565979651549754,-0.07918878429132375
semi_ys_pix,1.1361160570129525,0.3005204111316223,8.770818354559362e-06,-0.0006424481304647516,0.0004639090771079414,-0.015052605148762882,0.0033603216879977455,-0.03340479625924727,0.005144332357648771,4.721400435652152e-05,0.040099419950848925,0.0906598733432837,0.0003520580620762324,-0.04261544608366899,0.029750910834156468,-0.002139224166497623,-0.04945366174794096
