,shape,loc,scale,distribution,domain
ampl_c,1231.2575709418215,-0.9923936320384801,0.001618050336785394,gamma,spatial
xoc_pix,2.668972364844426,6.152827873763314,0.4367186097094724,skewnorm,spatial
yoc_pix,0.3646599194702753,6.415504693053796,0.2966254296976101,skewnorm,spatial
semi_xc_pix,6.66011832361671,0.46123699679360164,0.07320916372392303,gamma,spatial
semi_yc_pix,132.31257379455985,-0.6515725389341838,0.009572653212398169,gamma,spatial
ampl_s,31.52313873328727,-0.30154063031107803,0.01649647073728111,gamma,spatial
relat_sur_diam,14.370463352759732,1.364699222443876,1.0364660982514504,skewnorm,spatial
offset,0.4144823720292121,0.00031904331431477687,0.0004557955766094229,skewnorm,spatial
xy_aspect_ratio,18.55536806871698,1.0812506681524656,0.6812452421414832,skewnorm,spatial
relative_surround_volume,-3.07291791947998,0.903711079291156,0.1703257413486502,skewnorm,spatial
orient_cen_rad,19.806713986146384,0.09859338844701881,3.141592653589793,vonmises,spatial
n,11.096808060143097,3.7577592783244356,0.34552568467045885,gamma,temporal
p1,323.7407923906485,-3.49734029807853,0.020689225642829226,gamma,temporal
p2,18.374989019982344,-0.1757012091318617,0.027533303358393692,gamma,temporal
tau1,371.4442789019347,7.617055335327663,0.12516288765021594,gamma,temporal
tau2,41.733038314910075,0.0011921090572983109,4.001820364521303,gamma,temporal
tonic_drive,248.71873285433355,-6.982131096890259,0.03568106692617551,gamma,tonic
