,shape,loc,scale,distribution,domain
ampl_c,1291.8402553147548,-0.43008592069450013,0.0011055400261224461,gamma,spatial
xoc_pix,2.086997586511443,6.184953461346657,0.4131033885648161,skewnorm,spatial
yoc_pix,-0.7531904885482095,6.643781624006514,0.31763265267211166,skewnorm,spatial
semi_xc_pix,3.2158839977975093,0.6217861886497855,0.09514490568558878,gamma,spatial
semi_yc_pix,104.06992815649255,-0.4395569964012042,0.010052011473583814,gamma,spatial
ampl_s,2.7052274434356223,0.05749407653352972,0.07965181114255399,gamma,spatial
xos_pix,4.77474945582799e-05,6.436370303439673,0.4939756168580953,skewnorm,spatial
yos_pix,0.7548678975791088,6.180152646301012,0.4761656510613931,skewnorm,spatial
semi_xs_pix,228.32285508462303,-2.472527223288088,0.01788369659030767,gamma,spatial
semi_ys_pix,132.9443047616614,-2.900409029864945,0.029923376560636074,gamma,spatial
offset,-5.3096244831103565,0.0019614386761283627,0.0029078273631065457,skewnorm,spatial
xy_aspect_ratio,12.919050624501597,1.0936811196262903,0.6426486054889639,skewnorm,spatial
relative_surround_volume,-5.226152028683659,0.9211628572291803,0.23648288966375025,skewnorm,spatial
orient_cen_rad,22.75695623090919,0.00038280942130267126,3.141592653589793,vonmises,spatial
orient_sur_rad,2.488495515610072,2.028383148011182,3.141592653589793,vonmises,spatial
n,10.911461574812886,3.7657201255329316,0.35180050913947797,gamma,temporal
p1,361.55630084792597,-3.859985858694823,0.019517476160665168,gamma,temporal
p2,19.01199330693084,-0.18254618028402614,0.02699195681327332,gamma,temporal
tau1,455.10098094501456,2.6606591918596987,0.11302215773383589,gamma,temporal
tau2,41.73303831491148,0.0011921090572983109,4.001820364521301,gamma,temporal
tonic_drive,221.8857637989267,-6.521369532341408,0.03791970269751026,gamma,tonic
