,shape,loc,scale,distribution,domain
ampl_c,27.847741667967874,0.9985787397006634,5.02170552315989e-05,gamma,spatial
xoc_pix,-11.361051550720699,7.16783026034455,1.2160125026792903,skewnorm,spatial
yoc_pix,-1.9692904341798243,6.8457656285935045,0.42373563431896144,skewnorm,spatial
semi_xc_pix,7.7461186497988885,1.2541362929431,0.1477770957177158,gamma,spatial
semi_yc_pix,201.06199160142444,-1.86489474274076,0.017258565500436557,gamma,spatial
ampl_s,377.992009644777,-0.3070986539460403,0.0025581029829203662,gamma,spatial
relat_sur_diam,2.887150251594833,1.1373850378849835,0.058327003967155594,skewnorm,spatial
offset,-47.96884579857422,0.001015563651384528,0.00026821975374988476,skewnorm,spatial
xy_aspect_ratio,9.109327965281441,1.1089414245119744,0.5737229083664541,skewnorm,spatial
relative_surround_volume,-1.4487328596250553,0.935274061558067,0.03593688117613401,skewnorm,spatial
orient_cen_rad,37.044472693758344,0.06726326395533606,3.141592653589793,vonmises,spatial
n,271.49500498653566,-8.619416396960528,0.06782853133871045,gamma,temporal
p1,171.11600957775096,-3.1671443579234086,0.03824976118404674,gamma,temporal
p2,148.8191047771619,-1.1994403838205772,0.014381372034350547,gamma,temporal
tau1,1114.9393554796154,-0.774740665034384,0.04705794253391628,gamma,temporal
tau2,137.32290466434125,-0.0004174662031365752,0.9059927236121005,gamma,temporal
tonic_drive,264.4515179075847,-5.538163112970018,0.029920609430136073,gamma,tonic
