,means,std_devs,cov_ampl_c,cov_xoc_pix,cov_yoc_pix,cov_semi_xc_pix,cov_semi_yc_pix,cov_ampl_s,cov_xos_pix,cov_yos_pix,cov_semi_xs_pix,cov_semi_ys_pix,cov_offset,cov_xy_aspect_ratio,cov_relative_surround_volume,cov_orient_cen_rad,cov_orient_sur_rad
ampl_c,0.99999999994698,4.724655821007239e-10,2.259459668340415e-19,1.343446331148754e-12,-3.6613844682754315e-11,-1.3413589954895116e-11,-5.0252266700862225e-12,-2.575404225859758e-12,-2.7340901666063017e-12,-5.337513519194995e-11,-1.1400936203078569e-11,-8.068677015834157e-13,-6.308094776390371e-14,-2.3910305045905774e-12,3.009776099926637e-13,4.0201788572681875e-11,8.369324792287089e-12
xoc_pix,6.306246731839184,0.8503114009795223,1.343446331148754e-12,0.7318469113020477,0.05004546966008003,-0.00916538300191834,-0.024849976901094802,-0.009048492049167687,0.7371820755350321,0.06537407620847596,-0.004682864074367746,-0.003417032774865324,0.0006481339933784904,0.02288037515939598,0.004380341874985142,0.08676734969926345,-0.09958419154514735
yoc_pix,6.554825452648529,0.4845594832010214,-3.6613844682754315e-11,0.05004546966008003,0.23766128169613895,0.021980863225992988,0.005143088275984635,0.004422094142820302,0.02992483761708912,0.30183275821688105,0.0163418018390522,-5.380811160143559e-05,0.0001506086805529225,0.007394275638729161,1.6725659587654287e-07,0.008636685204537697,-0.2576330103307994
semi_xc_pix,2.294282456591536,0.3723569016514725,-1.3413589954895116e-11,-0.00916538300191834,0.021980863225992988,0.14034051174660003,0.016399662815868493,0.0074286902105170265,-0.0048553139188004975,0.02561069350847521,0.1575458284129264,0.021462399458023803,0.00015638479730595517,0.07415616782574781,0.009491062733886923,-0.02392316849172671,0.13206900108763872
semi_yc_pix,1.5812264763716863,0.2095204506730243,-5.0252266700862225e-12,-0.024849976901094802,0.005143088275984635,0.016399662815868493,0.04443417070449827,0.006195014570407285,-0.022807273566812433,0.011833291781744025,0.012582675655049582,0.04987308160924872,0.00029726509549668424,-0.03809434025721226,0.004611185427279559,0.009696047031668825,0.06086797136668452
ampl_s,0.6680620469546382,0.04905437679828264,-2.575404225859758e-12,-0.009048492049167687,0.004422094142820302,0.0074286902105170265,0.006195014570407285,0.002435677393837011,-0.008652881202862632,0.006637567324749781,0.005721303772165669,0.0033563960963009375,-7.301961957414792e-06,-0.0023050519935836756,-5.5629655085772864e-05,0.0011509139282301982,-0.003596465702503849
xos_pix,6.293808826886841,0.8668364751451829,-2.7340901666063017e-12,0.7371820755350321,0.02992483761708912,-0.0048553139188004975,-0.022807273566812433,-0.008652881202862632,0.7605689560402,0.03656292169890472,0.0002941371295229366,-0.0008534479989044259,0.0006252202289867186,0.023781757427601042,0.004846155330123761,0.07469094857050561,-0.00296378735837864
yos_pix,6.544408897262621,0.6232503043756353,-5.337513519194995e-11,0.06537407620847596,0.30183275821688105,0.02561069350847521,0.011833291781744025,0.006637567324749781,0.03656292169890472,0.393178026561692,0.01615831964495175,0.0044571229054134395,0.0002028412758509348,0.001981500831415116,-0.0001390162675395044,0.014892235691196798,-0.34552820698221903
semi_xs_pix,2.692727676019455,0.42759979108328683,-1.1400936203078569e-11,-0.004682864074367746,0.0163418018390522,0.1575458284129264,0.012582675655049582,0.005721303772165669,0.0002941371295229366,0.01615831964495175,0.18507135671659822,0.021772861487126646,0.00030997947626501576,0.09037513040766763,0.012613816159528935,-0.03150124389868201,0.20096869687410598
semi_ys_pix,1.855773171142127,0.26292138094841677,-8.068677015834157e-13,-0.003417032774865324,-5.380811160143559e-05,0.021462399458023803,0.04987308160924872,0.0033563960963009375,-0.0008534479989044259,0.0044571229054134395,0.021772861487126646,0.06997067271299107,0.0005824880159054367,-0.03942028777767019,0.0096424615206153,0.006609366277355158,0.11008030431414084
offset,0.00390711485033435,0.0037210750391465713,-6.308094776390371e-14,0.0006481339933784904,0.0001506086805529225,0.00015638479730595517,0.00029726509549668424,-7.301961957414792e-06,0.0006252202289867186,0.0002028412758509348,0.00030997947626501576,0.0005824880159054367,1.4015257976800631e-05,-0.00019757621704730865,0.00015941165143481344,5.317266481549166e-05,0.0008293964161306103
xy_aspect_ratio,1.4747525820872338,0.3038685365487688,-2.3910305045905774e-12,0.02288037515939598,0.007394275638729161,0.07415616782574781,-0.03809434025721226,-0.0023050519935836756,0.023781757427601042,0.001981500831415116,0.09037513040766763,-0.03942028777767019,-0.00019757621704730865,0.09346213735190374,0.0018482771704796497,-0.02615188025141557,0.021606353677162054
relative_surround_volume,0.9186118707989971,0.0531158461943862,3.009776099926637e-13,0.004380341874985142,1.6725659587654287e-07,0.009491062733886923,0.004611185427279559,-5.5629655085772864e-05,0.004846155330123761,-0.0001390162675395044,0.012613816159528935,0.0096424615206153,0.00015941165143481344,0.0018482771704796497,0.00285569913056698,-0.0026706908005567336,0.03463690833880297
orient_cen_rad,0.0716951681828666,0.47231725238459693,4.0201788572681875e-11,0.08676734969926345,0.008636685204537697,-0.02392316849172671,0.009696047031668825,0.0011509139282301982,0.07469094857050561,0.014892235691196798,-0.03150124389868201,0.006609366277355158,5.317266481549166e-05,-0.02615188025141557,-0.0026706908005567336,0.22580411844769774,-0.45548403854754027
orient_sur_rad,2.633306828774076,2.5875119371123936,8.369324792287089e-12,-0.09958419154514735,-0.2576330103307994,0.13206900108763872,0.06086797136668452,-0.003596465702503849,-0.00296378735837864,-0.34552820698221903,0.20096869687410598,0.11008030431414084,0.0008293964161306103,0.021606353677162054,0.03463690833880297,-0.45548403854754027,6.77686702500034
