,Parameter,Type,Minimum,Maximum,Median,Mean,SD,SEM,N
0,A_cen,ON,19.41,128.1,67.59,63.68,33.06,9.16919424360304,13
1,A_cen,OFF,29.58,114.05,52.95,68.96,25.31,7.631252131263197,11
2,A_cen,ALL,19.41,128.1,54.57,61.52,29.23,5.9665487651293585,24
3,NLTL_cen,ON,39.64,55.06,48.15,48.05,4.18,1.1593234101107288,13
4,NLTL_cen,OFF,42.39,55.4,50.38,50.24,4.32,1.302529008575939,11
5,NLTL_cen,ALL,39.64,55.4,48.87,49.08,4.29,0.8756925830449862,24
6,NL_cen,ON,20.0,46.0,38.0,36.38,6.63,1.8388311504866346,13
7,NL_cen,OFF,21.0,41.0,27.0,27.64,5.48,1.6522821682861448,11
8,NL_cen,ALL,20.0,46.0,31.5,32.38,7.47,1.5248073648825284,24
9,HS_cen,ON,0.57,0.86,0.69,0.69,0.078,0.021633307652783935,13
10,HS_cen,OFF,0.5,0.82,0.75,0.72,0.1,0.030151134457776365,11
11,HS_cen,ALL,0.5,0.86,0.73,0.7,0.09,0.018371173070873836,24
12,TS_cen,ON,11.9,52.66,29.36,31.24,13.93,3.8634868667087208,13
13,TS_cen,OFF,20.85,101.77,35.68,45.35,28.29,8.529755938104932,11
14,TS_cen,ALL,11.9,101.77,32.27,37.7,22.14,4.519308575434964,24
15,D_cen,ON,2.5,4.0,3.5,3.47,0.51,0.14144855003743342,13
16,D_cen,OFF,2.5,4.0,3.5,3.5,0.61,0.1839219201924358,11
17,D_cen,ALL,2.5,4.0,3.5,3.48,0.53,0.10818579697292371,24
18,A_sur,ON,29.67,519.63,49.98,126.46,193.23,78.88581716633226,6
19,A_sur,OFF,12.54,420.2,23.91,76.07,139.97,49.486868081340525,8
20,A_sur,ALL,12.54,519.63,32.92,97.67,159.94,42.74576303147315,14
21,NLTL_sur,ON,47.79,63.99,55.02,55.84,5.37,2.1922933197909447,6
22,NLTL_sur,OFF,53.0,64.2,60.33,59.89,3.61,1.2763277400417181,8
23,NLTL_sur,ALL,47.79,64.2,58.68,58.16,4.73,1.2641456742457675,14
24,NL_sur,ON,98.0,133.0,111.0,111.5,13.19,5.384794951218353,6
25,NL_sur,OFF,45.0,168.0,67.0,78.88,41.46,14.65832357399713,8
26,NL_sur,ALL,45.0,168.0,98.0,92.86,35.67,9.533208499016178,14
27,HS_sur,ON,0.0,0.92,0.48,0.43,0.32,0.13063945294843618,6
28,HS_sur,OFF,0.0,0.65,0.42,0.38,0.22,0.07778174593052023,8
29,HS_sur,ALL,0.0,0.92,0.45,0.41,0.26,0.06948792289723034,14
30,TS_sur,ON,1.0,38.71,18.62,18.93,20.39,8.324182642558167,6
31,TS_sur,OFF,1.0,140.45,52.0,60.15,42.79,15.128549583486183,8
32,TS_sur,ALL,1.0,140.45,37.08,42.49,39.92,10.669068777143982,14
33,deltaNLTL_sur,ON,4.51,8.93,7.24,7.05,1.45,0.5919600211726014,6
34,deltaNLTL_sur,OFF,4.76,14.84,10.22,9.43,3.17,1.1207642481806777,8
35,deltaNLTL_sur,ALL,4.51,14.84,7.52,8.41,2.78,0.7429862525165397,14
36,Mean,ON,23.13,51.97,36.15,38.85,9.54,2.6459199359943426,13
37,Mean,OFF,16.48,39.38,24.68,25.05,6.87,2.0713829372492363,11
38,Mean,ALL,16.48,51.97,30.42,32.54,10.83,2.2106644928618184,24
