Parameter,Type,Minimum,Maximum,Median,Mean,SD,CV
A,ON,19.41,128.10,67.59,63.68,33.06,0.52
A,OFF,29.58,114.05,52.95,68.96,25.31,0.37
A,ALL,19.41,128.10,54.57,61.52,29.23,0.48
NLTL,ON,39.64,55.06,48.15,48.05,4.18,0.09
NLTL,OFF,42.39,55.40,50.38,50.24,4.32,0.09
NLTL,ALL,39.64,55.40,48.87,49.08,4.29,0.09
NL,ON,20,46,38,36.38,6.63,0.18
NL,OFF,21,41,27,27.64,5.48,0.20
NL,ALL,20,46,31.5,32.38,7.47,0.23
HS,ON,0.57,0.86,0.69,0.69,0.078,0.11
HS,OFF,0.50,0.82,0.75,0.72,0.10,0.14
HS,ALL,0.50,0.86,0.73,0.70,0.09,0.13
TS,ON,11.9,52.66,29.36,31.24,13.93,0.45
TS,OFF,20.85,101.77,35.68,45.35,28.29,0.62
TS,ALL,11.9,101.77,32.27,37.70,22.14,0.59
D,ON,2.5,4,3.5,3.47,0.51,0.15
D,OFF,2.5,4,3.5,3.5,0.61,0.17
D,ALL,2.5,4,3.5,3.48,0.53,0.15
