,Parameter,Type,min_cen,max_cen,median_cen,mean_cen,sd_cen,n_cen,sem_cen,min_sur,max_sur,median_sur,mean_sur,sd_sur,n_sur,sem_sur
0,A,ON,19.41,128.1,67.59,63.68,33.06,13,9.16919424360304,29.67,519.63,49.98,126.46,193.23,6,78.88581716633226
1,A,OFF,29.58,114.05,52.95,68.96,25.31,11,7.631252131263197,12.54,420.2,23.91,76.07,139.97,8,49.486868081340525
2,A,ALL,19.41,128.1,54.57,61.52,29.23,24,5.9665487651293585,12.54,519.63,32.92,97.67,159.94,14,42.74576303147315
3,NLTL,ON,39.64,55.06,48.15,48.05,4.18,13,1.1593234101107288,47.79,63.99,55.02,55.84,5.37,6,2.1922933197909447
4,NLTL,OFF,42.39,55.4,50.38,50.24,4.32,11,1.302529008575939,53.0,64.2,60.33,59.89,3.61,8,1.2763277400417181
5,NLTL,ALL,39.64,55.4,48.87,49.08,4.29,24,0.8756925830449862,47.79,64.2,58.68,58.16,4.73,14,1.2641456742457675
6,NL,ON,20.0,46.0,38.0,36.38,6.63,13,1.8388311504866346,98.0,133.0,111.0,111.5,13.19,6,5.384794951218353
7,NL,OFF,21.0,41.0,27.0,27.64,5.48,11,1.6522821682861448,45.0,168.0,67.0,78.88,41.46,8,14.65832357399713
8,NL,ALL,20.0,46.0,31.5,32.38,7.47,24,1.5248073648825284,45.0,168.0,98.0,92.86,35.67,14,9.533208499016178
9,HS,ON,0.57,0.86,0.69,0.69,0.078,13,0.021633307652783935,0.0,0.92,0.48,0.43,0.32,6,0.13063945294843618
10,HS,OFF,0.5,0.82,0.75,0.72,0.1,11,0.030151134457776365,0.0,0.65,0.42,0.38,0.22,8,0.07778174593052023
11,HS,ALL,0.5,0.86,0.73,0.7,0.09,24,0.018371173070873836,0.0,0.92,0.45,0.41,0.26,14,0.06948792289723034
12,TS,ON,11.9,52.66,29.36,31.24,13.93,13,3.8634868667087208,0.0,38.71,18.62,18.93,20.39,6,8.324182642558167
13,TS,OFF,20.85,101.77,35.68,45.35,28.29,11,8.529755938104932,0.0,14.05,52.0,60.15,42.79,8,15.128549583486183
14,TS,ALL,11.9,101.77,32.27,37.7,22.14,24,4.519308575434964,0.0,140.45,37.08,42.49,39.92,14,10.669068777143982
15,D,ON,2.5,4.0,3.5,3.47,0.51,13,0.14144855003743342,,,,,,,
16,D,OFF,2.5,4.0,3.5,3.5,0.61,11,0.1839219201924358,,,,,,,
17,D,ALL,2.5,4.0,3.5,3.48,0.53,24,0.10818579697292371,,,,,,,
18,deltaNLTL,ON,,,,,,,,4.51,8.93,7.24,7.05,1.45,6,0.5919600211726014
19,deltaNLTL,OFF,,,,,,,,4.76,14.84,10.22,9.43,3.17,8,1.1207642481806777
20,deltaNLTL,ALL,,,,,,,,4.51,14.84,7.52,8.41,2.78,14,0.7429862525165397
